code,system,display,definition,synonym
UN-0001,unani,Humma,"'Humma' refers to fever. Typical features include pyrexia, chills, malaise. Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Fever
UN-0002,unani,Nazla,"'Nazla' refers to acute rhinitis/catarrh. Typical features include airway irritation, cough, and breathing difficulty. Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Acute rhinitis
UN-0003,unani,Zukam,"'Zukam' refers to common cold. Typical features include symptoms vary by severity and temperament (mizaj). Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Common cold
UN-0004,unani,Su'al,"'Su'al' refers to cough. Typical features include airway irritation, cough, and breathing difficulty. Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Cough
UN-0005,unani,Sil,"'Sil' refers to pulmonary tuberculosis. Typical features include symptoms vary by severity and temperament (mizaj). Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Pulmonary tuberculosis
UN-0006,unani,Dhiq al-Nafas,"'Dhiq al-Nafas' refers to dyspnea. Typical features include airway irritation, cough, and breathing difficulty. Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Dyspnea
UN-0007,unani,Rabw,"'Rabw' refers to bronchial asthma. Typical features include airway irritation, cough, and breathing difficulty. Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Bronchial asthma
UN-0008,unani,Warm-e-Riya,"'Warm-e-Riya' refers to pneumonia. Typical features include airway irritation, cough, and breathing difficulty. Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Pneumonia
UN-0009,unani,Iltihab-e-Bronchi,"'Iltihab-e-Bronchi' refers to bronchitis. Typical features include airway irritation, cough, and breathing difficulty. Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Bronchitis
UN-0010,unani,Iltihab-e-Halaq,"'Iltihab-e-Halaq' refers to pharyngitis. Typical features include airway irritation, cough, and breathing difficulty. Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Pharyngitis
UN-0011,unani,Iltihab-e-Lawzatayn,"'Iltihab-e-Lawzatayn' refers to tonsillitis. Typical features include symptoms vary by severity and temperament (mizaj). Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Tonsillitis
UN-0012,unani,Iltihab-e-Hanjara,"'Iltihab-e-Hanjara' refers to laryngitis. Typical features include airway irritation, cough, and breathing difficulty. Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Laryngitis
UN-0013,unani,Ramad,"'Ramad' refers to ophthalmia/conjunctivitis. Typical features include symptoms vary by severity and temperament (mizaj). Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Ophthalmia
UN-0014,unani,Nazf al-Anf,"'Nazf al-Anf' refers to epistaxis (nosebleed). Typical features include symptoms vary by severity and temperament (mizaj). Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Epistaxis
UN-0015,unani,Waja'-e-Sadr,"'Waja'-e-Sadr' refers to chest pain. Typical features include localized pain and functional limitation. Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Chest pain
UN-0016,unani,Khafqan,"'Khafqan' refers to palpitations. Typical features include symptoms vary by severity and temperament (mizaj). Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Palpitations
UN-0017,unani,Farat al-Dam,"'Farat al-Dam' refers to hypertension. Typical features include elevated blood pressure, headache, and fatigue. Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Hypertension
UN-0018,unani,Zo'f al-Qalb,"'Zo'f al-Qalb' refers to cardiac weakness. Typical features include symptoms vary by severity and temperament (mizaj). Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Cardiac weakness
UN-0019,unani,Suda',"'Suda'' refers to headache. Typical features include neurological symptoms such as headache or dizziness. Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Headache
UN-0020,unani,Shaqeeqa,"'Shaqeeqa' refers to migraine. Typical features include neurological symptoms such as headache or dizziness. Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Migraine
UN-0021,unani,Falij,"'Falij' refers to paralysis. Typical features include symptoms vary by severity and temperament (mizaj). Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Paralysis
UN-0022,unani,Laqwa,"'Laqwa' refers to facial palsy (bell's palsy). Typical features include symptoms vary by severity and temperament (mizaj). Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Facial palsy
UN-0023,unani,Sara',"'Sara'' refers to epilepsy. Typical features include symptoms vary by severity and temperament (mizaj). Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Epilepsy
UN-0024,unani,Nisyan,"'Nisyan' refers to amnesia. Typical features include symptoms vary by severity and temperament (mizaj). Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Amnesia
UN-0025,unani,Malikhuliya,"'Malikhuliya' refers to melancholia. Typical features include symptoms vary by severity and temperament (mizaj). Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Melancholia
UN-0026,unani,Ishal,"'Ishal' refers to diarrhea. Typical features include increased stool frequency with abdominal cramps. Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Diarrhea
UN-0027,unani,Qabz,"'Qabz' refers to constipation. Typical features include infrequent, hard stools and straining. Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Constipation
UN-0028,unani,Qai',"'Qai'' refers to vomiting. Typical features include symptoms vary by severity and temperament (mizaj). Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Vomiting
UN-0029,unani,Nafkha,"'Nafkha' refers to flatulence/bloating. Typical features include symptoms vary by severity and temperament (mizaj). Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Flatulence
UN-0030,unani,So'-e-Hazm,"'So'-e-Hazm' refers to indigestion/dyspepsia. Typical features include epigastric discomfort, burning, and dyspepsia. Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Indigestion
UN-0031,unani,Harqat al-Mi'da,"'Harqat al-Mi'da' refers to heartburn. Typical features include epigastric discomfort, burning, and dyspepsia. Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Heartburn
UN-0032,unani,Qurooh-e-Mi'da,"'Qurooh-e-Mi'da' refers to gastric ulcer. Typical features include localized ulceration, burning pain, and tenderness, epigastric discomfort, burning, and dyspepsia. Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Gastric ulcer
UN-0033,unani,Qurooh-e-Isna 'Ashar,"'Qurooh-e-Isna 'Ashar' refers to duodenal ulcer. Typical features include localized ulceration, burning pain, and tenderness. Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Duodenal ulcer
UN-0034,unani,Warm-e-Kabid,"'Warm-e-Kabid' refers to hepatitis. Typical features include right upper quadrant discomfort and fatigue. Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Hepatitis
UN-0035,unani,Warm-e-Marara,"'Warm-e-Marara' refers to cholecystitis. Typical features include urinary symptoms such as dysuria, frequency, or colic. Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Cholecystitis
UN-0036,unani,Hissah-e-Marara,"'Hissah-e-Marara' refers to gallstones (cholelithiasis). Typical features include urinary symptoms such as dysuria, frequency, or colic. Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Gallstones
UN-0037,unani,Bawasir,"'Bawasir' refers to hemorrhoids. Typical features include symptoms vary by severity and temperament (mizaj). Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Hemorrhoids
UN-0038,unani,Shiqaq-e-Maq'ad,"'Shiqaq-e-Maq'ad' refers to anal fissure. Typical features include symptoms vary by severity and temperament (mizaj). Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Anal fissure
UN-0039,unani,Iltihab-e-Qolon,"'Iltihab-e-Qolon' refers to colitis. Typical features include symptoms vary by severity and temperament (mizaj). Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Colitis
UN-0040,unani,Warm-e-Mi'da,"'Warm-e-Mi'da' refers to gastritis. Typical features include epigastric discomfort, burning, and dyspepsia. Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Gastritis
UN-0041,unani,Didan al-Ama',"'Didan al-Ama'' refers to intestinal helminthiasis. Typical features include symptoms vary by severity and temperament (mizaj). Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Intestinal helminthiasis
UN-0042,unani,Ishaal-e-Damvi,"'Ishaal-e-Damvi' refers to dysentery (bloody diarrhea). Typical features include increased stool frequency with abdominal cramps. Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Dysentery
UN-0043,unani,Waja'-al-Mafasil,"'Waja'-al-Mafasil' refers to arthralgia (joint pain). Typical features include localized pain and functional limitation, joint inflammation, stiffness, or nerve-related pain. Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Arthralgia
UN-0044,unani,Warm-e-Mafasil,"'Warm-e-Mafasil' refers to arthritis. Typical features include joint inflammation, stiffness, or nerve-related pain. Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Arthritis
UN-0045,unani,Niqris,"'Niqris' refers to gout. Typical features include joint inflammation, stiffness, or nerve-related pain. Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Gout
UN-0046,unani,Waja'-al-Zahr,"'Waja'-al-Zahr' refers to low back pain. Typical features include localized pain and functional limitation, joint inflammation, stiffness, or nerve-related pain. Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Low back pain
UN-0047,unani,Irq al-Nasa,"'Irq al-Nasa' refers to sciatica. Typical features include joint inflammation, stiffness, or nerve-related pain. Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Sciatica
UN-0048,unani,Kasr,"'Kasr' refers to fracture. Typical features include symptoms vary by severity and temperament (mizaj). Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Fracture
UN-0049,unani,Khal'a,"'Khal'a' refers to joint dislocation. Typical features include joint inflammation, stiffness, or nerve-related pain. Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Joint dislocation
UN-0050,unani,Waja'-al-'Azm,"'Waja'-al-'Azm' refers to bone pain. Typical features include localized pain and functional limitation. Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Bone pain
UN-0051,unani,Jarab,"'Jarab' refers to scabies. Typical features include skin changes such as rash, pruritus, or lesions. Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Scabies
UN-0052,unani,Quba,"'Quba' refers to tinea (ringworm). Typical features include skin changes such as rash, pruritus, or lesions. Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Tinea
UN-0053,unani,Bars,"'Bars' refers to vitiligo. Typical features include skin changes such as rash, pruritus, or lesions. Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Vitiligo
UN-0054,unani,Bahaq,"'Bahaq' refers to pityriasis alba/leucoderma. Typical features include symptoms vary by severity and temperament (mizaj). Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Pityriasis alba
UN-0055,unani,Judam,"'Judam' refers to leprosy. Typical features include skin changes such as rash, pruritus, or lesions. Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Leprosy
UN-0056,unani,Namash,"'Namash' refers to freckles. Typical features include symptoms vary by severity and temperament (mizaj). Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Freckles
UN-0057,unani,Kalaf,"'Kalaf' refers to melasma/chloasma. Typical features include symptoms vary by severity and temperament (mizaj). Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Melasma
UN-0058,unani,Sozish-e-Bawl,"'Sozish-e-Bawl' refers to dysuria (burning micturition). Typical features include urinary symptoms such as dysuria, frequency, or colic. Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Dysuria
